gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
4875658359	ba745fec-6b40-4edd-b035-5a27a1232760	04200105.JPG/DDC/fonafifo_2345	Animalia	Chordata	Mammalia	Carnivora	Felidae	Leopardus	Leopardus pardalis		SPECIES	Leopardus pardalis (Linnaeus, 1758)	Leopardus pardalis		CR	RANCHO QUEMADO		PRESENT	27	5ba1c336-40f9-4468-a050-f83a3fa0b3a2	8.70394	-83.55246							2019-04-20	20	4	2019	2434982	2434982	MACHINE_OBSERVATION				DDCFONAFIFO	Jonathan Sanchez		CC_BY_NC_4_0					2025-02-01T00:36:48.701Z		CONTINENT_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
4875658358	ba745fec-6b40-4edd-b035-5a27a1232760	02140011.MP4/DDC/fonafifo	Animalia	Chordata	Mammalia	Carnivora	Felidae	Puma	Puma concolor		SPECIES	Puma concolor (Linnaeus, 1771)	Puma concolor		CR	AGUA BUENA-RINCŒ		PRESENT	2	5ba1c336-40f9-4468-a050-f83a3fa0b3a2	8.69628	-83.50129							2019-02-14	14	2	2019	2435099	2435099	MACHINE_OBSERVATION				02140011.MP4	Pablo Montenegro		CC_BY_NC_4_0					2025-02-01T00:36:48.700Z		CONTINENT_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
4875658353	ba745fec-6b40-4edd-b035-5a27a1232760	3090014.MP4/DDC/fonafifo	Animalia	Chordata	Mammalia	Carnivora	Felidae	Leopardus	Leopardus pardalis		SPECIES	Leopardus pardalis (Linnaeus, 1758)	Leopardus pardalis		CR	AGUA BUENA-RINCŒ		PRESENT	1	5ba1c336-40f9-4468-a050-f83a3fa0b3a2	8.69628	-83.50129							2018-03-09	9	3	2018	2434982	2434982	MACHINE_OBSERVATION				3090014.MP4	Adriana Valerio		CC_BY_NC_4_0					2025-02-01T00:36:48.700Z		CONTINENT_DERIVED_FROM_COORDINATES;RECORDED_DATE_INVALID;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
4875658348	ba745fec-6b40-4edd-b035-5a27a1232760	03140048.MP4/DDC/fonafifo	Animalia	Chordata	Mammalia	Carnivora	Felidae	Puma	Puma concolor		SPECIES	Puma concolor (Linnaeus, 1771)	Puma concolor		CR	RANCHO QUEMADO		PRESENT	2	5ba1c336-40f9-4468-a050-f83a3fa0b3a2	8.67672	-83.57298							2019-03-14	14	3	2019	2435099	2435099	MACHINE_OBSERVATION				03140048.MP4	Pablo Montenegro		CC_BY_NC_4_0					2025-02-01T00:36:48.699Z		CONTINENT_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
4875658307	ba745fec-6b40-4edd-b035-5a27a1232760	5250499.JPG/DDC/fonafifo	Animalia	Chordata	Mammalia	Carnivora	Felidae	Puma	Puma yagouaroundi		SPECIES	Puma yagouaroundi (É.Geoffroy Saint-Hilaire, 1803)	Puma yagouaroundi		CR	MOGOS		PRESENT	27	5ba1c336-40f9-4468-a050-f83a3fa0b3a2	8.74121	-83.40298							2018-05-25	25	5	2018	2435146	2435146	MACHINE_OBSERVATION				DDCFONAFIFO	Adriana Valerio		CC_BY_NC_4_0					2025-02-01T00:36:48.696Z		CONTINENT_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
4875656255	ba745fec-6b40-4edd-b035-5a27a1232760	09220892.MP4/DDC/fonafifo	Animalia	Chordata	Mammalia	Carnivora	Felidae	Panthera	Panthera onca		SPECIES	Panthera onca (Linnaeus, 1758)	Panthera onca		CR	Estacizxperimental Forestal Horizontes		PRESENT	1	5ba1c336-40f9-4468-a050-f83a3fa0b3a2	10.726964	-85.5949							2021-09-22	22	9	2021	5219426	5219426	MACHINE_OBSERVATION				09220892.MP4	Ricardo Bedoya		CC_BY_NC_4_0					2025-02-01T00:36:48.692Z		CONTINENT_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
4875656192	ba745fec-6b40-4edd-b035-5a27a1232760	07010082.MP4/DDC/fonafifo	Animalia	Chordata	Mammalia	Carnivora	Felidae	Leopardus	Leopardus pardalis		SPECIES	Leopardus pardalis (Linnaeus, 1758)	Leopardus pardalis		CR	RANCHO QUEMADO		PRESENT	4	5ba1c336-40f9-4468-a050-f83a3fa0b3a2	8.67672	-83.57298							2019-07-01	1	7	2019	2434982	2434982	MACHINE_OBSERVATION				07010082.MP4	Jonathan Sanchez		CC_BY_NC_4_0					2025-02-01T00:36:48.688Z		CONTINENT_DERIVED_FROM_COORDINATES;RECORDED_DATE_INVALID;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
4875656191	ba745fec-6b40-4edd-b035-5a27a1232760	04060035.JPG/DDC/fonafifo	Animalia	Chordata	Mammalia	Carnivora	Felidae	Puma	Puma concolor		SPECIES	Puma concolor (Linnaeus, 1771)	Puma concolor		CR	Estacizxperimental Forestal Horizontes		PRESENT	27	5ba1c336-40f9-4468-a050-f83a3fa0b3a2	10.738537	-85.572084							2022-04-06	6	4	2022	2435099	2435099	MACHINE_OBSERVATION				DDCFONAFIFO	Adriana Valerio		CC_BY_NC_4_0					2025-02-01T00:36:48.688Z		CONTINENT_DERIVED_FROM_COORDINATES;RECORDED_DATE_INVALID;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
4875656120	ba745fec-6b40-4edd-b035-5a27a1232760	05040016.MP4/DDC/fonafifo	Animalia	Chordata	Mammalia	Carnivora	Felidae	Leopardus	Leopardus pardalis		SPECIES	Leopardus pardalis (Linnaeus, 1758)	Leopardus pardalis		CR	RANCHO QUEMADO		PRESENT	1	5ba1c336-40f9-4468-a050-f83a3fa0b3a2	8.67738	-83.58411							2019-05-04	4	5	2019	2434982	2434982	MACHINE_OBSERVATION				05040016.MP4	Pablo Montenegro		CC_BY_NC_4_0					2025-02-01T00:36:48.683Z		CONTINENT_DERIVED_FROM_COORDINATES;RECORDED_DATE_INVALID;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
4875656098	ba745fec-6b40-4edd-b035-5a27a1232760	02220039.MP4/DDC/fonafifo	Animalia	Chordata	Mammalia	Carnivora	Felidae	Puma	Puma concolor		SPECIES	Puma concolor (Linnaeus, 1771)	Puma concolor		CR	SIERPE		PRESENT	2	5ba1c336-40f9-4468-a050-f83a3fa0b3a2	8.81811	-83.49311							2023-02-22	22	2	2023	2435099	2435099	MACHINE_OBSERVATION				02220039.MP4	Adriana Valerio		CC_BY_NC_4_0					2025-02-01T00:36:48.682Z		CONTINENT_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
